,Zm00001d028401,Zm00001d049179,Zm00001d035082,Zm00001d031463,Zm00001d039173,Zm00001d006010,Zm00001d033861,Zm00001d043589,Zm00001d040260,Zm00001d048201,Zm00001d024281,Zm00001d018024,Zm00001d018742,Zm00001d034112,Zm00001d033673,Zm00001d044228,Zm00001d028398,Zm00001d025944,Zm00001d048082,Zm00001d005454,Zm00001d015737,Zm00001d020620,Zm00001d020910,Zm00001d031913,Zm00001d039432,Zm00001d042217,Zm00001d018775
cell_51,0,0,1,2,0,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_52,0,0,0,0,0,1,0,1,0,2,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0
cell_53,1,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_54,2,0,2,0,2,0,0,1,0,1,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_55,0,0,0,1,1,0,0,1,2,2,0,0,2,5,1,1,0,0,0,0,0,0,0,1,0,0,0
cell_56,2,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_57,0,0,0,0,2,1,1,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_58,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_59,0,0,0,0,0,0,0,6,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
cell_60,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cell_61,0,0,7,3,0,0,1,4,0,0,0,0,2,2,0,0,0,0,0,0,16,0,0,0,0,0,0
cell_62,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0
cell_63,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0
cell_64,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_65,2,0,5,1,0,0,0,5,0,0,0,2,0,4,0,0,1,0,0,0,23,0,0,10,0,0,0
cell_66,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_67,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
cell_68,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_70,2,0,5,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,3,0,0,4,0,0,0
cell_71,0,0,1,1,1,0,0,9,4,1,0,0,3,3,0,0,0,0,0,2,0,0,1,0,0,0,0
cell_72,0,0,0,0,0,0,2,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_73,1,0,0,0,1,0,1,2,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_74,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_75,0,0,0,1,0,0,0,3,0,1,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_76,1,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_77,0,0,2,0,0,0,0,4,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0
cell_78,0,0,0,0,0,0,0,4,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_79,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
cell_80,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0
cell_81,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_82,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_83,1,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0
cell_84,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0
