,Zm00001d028401,Zm00001d049179,Zm00001d035082,Zm00001d031463,Zm00001d039173,Zm00001d006010,Zm00001d033861,Zm00001d043589,Zm00001d040260,Zm00001d048201,Zm00001d024281,Zm00001d018024,Zm00001d018742,Zm00001d034112,Zm00001d033673,Zm00001d044228,Zm00001d028398,Zm00001d025944,Zm00001d048082,Zm00001d005454,Zm00001d015737,Zm00001d020620,Zm00001d020910,Zm00001d031913,Zm00001d039432,Zm00001d042217,Zm00001d018775
cell_6205,2,0,6,0,0,0,0,2,1,1,0,2,0,6,2,0,3,1,0,0,1,0,1,1,0,0,0
cell_6206,2,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,3,0,0,0
cell_6207,2,0,1,1,2,0,1,11,0,0,1,0,1,2,2,0,0,0,0,1,3,0,0,0,1,0,1
cell_6208,8,0,0,0,1,0,4,0,0,0,0,3,1,2,0,1,3,0,0,0,0,0,0,0,0,0,0
cell_6209,2,0,0,3,0,0,0,27,5,1,0,0,1,4,1,0,0,0,3,0,0,0,0,0,12,0,0
cell_6210,7,0,14,2,0,0,0,5,0,2,0,1,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0
cell_6211,2,1,1,0,0,0,3,0,0,0,0,1,6,2,1,0,2,0,0,0,0,0,0,0,0,0,0
cell_6212,0,0,0,0,0,0,0,0,0,1,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0
cell_6213,2,0,1,2,0,0,0,14,0,3,0,3,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0
cell_6214,0,0,0,0,4,0,1,2,1,2,6,2,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0
cell_6215,2,0,2,16,3,0,0,23,3,3,0,1,3,3,1,0,0,0,1,0,0,0,1,0,10,3,0
cell_6216,6,0,0,0,4,2,4,0,0,3,0,4,6,3,1,0,0,0,0,0,2,0,0,4,0,0,0
cell_6217,1,0,2,1,1,2,3,2,0,0,0,2,1,3,0,1,0,0,0,0,28,0,0,5,0,0,0
cell_6218,0,0,0,0,1,1,0,0,0,3,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0
cell_6219,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
cell_6220,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,2,0,0,0,0,0,0,0,0,0,0
cell_6221,0,0,1,0,0,0,0,0,9,1,2,1,0,3,2,0,0,0,0,0,0,0,6,0,11,0,0
cell_6222,0,0,0,2,2,1,0,6,0,0,0,0,0,4,1,0,0,0,0,6,0,0,0,0,1,0,0
cell_6223,1,0,4,0,1,0,1,2,0,4,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0
cell_6224,0,0,0,0,0,1,3,0,0,0,0,1,1,4,0,1,0,0,0,0,8,0,1,0,0,0,0
cell_6225,0,0,1,0,1,0,2,5,0,0,0,7,4,3,2,0,0,0,0,0,29,0,0,1,0,0,0
cell_6226,0,0,4,0,0,0,0,7,0,2,0,0,1,3,1,0,4,0,0,0,0,0,1,0,0,0,0
cell_6227,0,0,0,0,1,2,0,0,1,0,1,0,0,6,0,1,0,0,0,1,2,0,0,0,0,0,0
cell_6228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0
cell_6229,0,0,2,1,0,0,2,6,0,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
cell_6230,1,0,6,1,0,0,1,4,0,1,0,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_6231,1,0,1,1,0,0,0,2,0,2,0,0,0,7,3,1,1,0,0,0,0,0,0,0,1,2,1
cell_6232,0,1,1,1,0,0,0,5,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0
cell_6233,0,0,0,0,0,0,3,2,0,0,0,2,12,10,0,6,0,0,0,0,1,0,0,0,0,0,0
cell_6234,0,0,1,2,0,0,1,11,0,0,0,3,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0
cell_6235,0,0,1,0,2,1,3,0,0,0,0,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0
cell_6236,3,0,7,0,1,0,2,7,0,4,0,2,1,4,0,0,0,0,0,0,1,1,0,0,0,0,0
cell_6237,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0
cell_6238,2,0,2,1,2,0,3,4,0,0,0,2,2,4,0,0,0,0,0,0,5,0,0,0,0,0,0
cell_6239,0,0,0,2,0,0,0,13,0,0,0,1,1,7,0,2,1,0,0,1,0,0,0,0,1,0,0
cell_6240,0,0,1,0,0,0,1,5,0,0,0,0,3,11,0,5,0,0,0,1,0,0,0,0,0,0,0
cell_6241,10,0,14,0,0,0,0,3,0,1,0,4,0,5,5,0,1,0,0,0,0,0,0,5,0,0,0
cell_6242,0,0,1,0,0,3,1,3,0,0,0,1,3,10,1,1,3,0,0,0,0,0,0,0,0,0,0
cell_6243,2,0,1,2,0,3,1,0,0,0,0,1,0,4,0,0,0,1,0,0,44,0,1,0,0,2,0
cell_6244,4,0,6,0,1,0,1,3,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_6245,0,0,1,0,0,2,0,5,0,0,0,1,4,3,0,2,1,0,0,1,0,0,0,0,0,0,0
cell_6246,0,0,0,2,2,0,0,12,0,0,0,1,3,13,0,10,1,0,0,1,0,0,1,0,2,0,0
cell_6247,3,0,0,2,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1
cell_6248,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,3,0,0
cell_6249,0,1,0,0,2,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,3,0
cell_6250,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0
cell_6251,1,0,4,0,0,0,3,6,0,2,0,0,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0
cell_6252,0,0,0,0,0,0,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6253,4,0,0,0,1,0,5,0,0,1,0,3,2,3,1,0,3,0,0,1,2,0,0,2,1,0,0
cell_6254,2,0,2,2,1,0,0,8,0,4,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1
cell_6255,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,3,0,0,0,2,0,0
cell_6256,0,0,0,0,1,0,1,2,0,0,0,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0
cell_6257,0,1,0,0,0,1,0,0,2,0,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,2,0
cell_6258,0,0,0,0,0,0,1,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
cell_6259,2,1,1,1,0,0,0,2,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0
cell_6260,0,0,9,0,0,0,2,3,0,2,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_6261,0,0,1,0,1,2,0,0,1,1,1,1,0,5,0,1,0,0,0,3,1,0,1,1,1,0,0
cell_6262,3,0,0,0,5,0,2,0,0,4,27,1,0,1,3,1,0,0,0,0,2,1,1,0,0,0,0
cell_6263,1,0,0,0,1,3,4,0,0,0,0,7,2,10,0,2,2,0,0,0,0,0,0,0,2,0,0
cell_6264,0,0,0,5,0,0,0,8,1,0,0,4,0,9,2,3,0,0,0,0,0,1,1,0,4,5,3
cell_6265,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0
cell_6266,2,0,7,1,2,0,3,1,0,0,0,3,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0
cell_6267,3,0,0,0,0,6,3,0,0,0,0,3,3,11,1,1,0,0,0,0,0,0,0,1,0,0,0
cell_6268,0,0,0,0,0,3,0,1,0,0,0,1,2,3,0,1,0,0,0,0,0,0,1,4,0,0,0
cell_6269,0,0,0,0,0,0,3,0,0,1,0,2,4,7,0,2,0,0,0,0,1,0,0,0,0,0,0
cell_6270,7,0,9,2,0,0,2,2,0,0,0,5,1,2,1,0,0,0,0,0,9,0,0,0,0,0,0
cell_6271,3,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0
cell_6272,0,0,0,0,0,0,0,1,0,0,0,4,4,6,1,1,0,0,0,0,0,0,0,0,0,0,0
cell_6273,3,0,0,7,1,0,0,14,6,4,0,0,1,2,1,0,0,1,0,0,0,0,1,1,1,3,0
cell_6274,0,0,3,1,0,0,2,3,0,2,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0
cell_6275,6,0,9,0,1,0,2,4,0,5,0,2,1,4,0,0,1,0,0,0,3,0,0,1,0,0,0
cell_6276,0,0,0,7,0,0,0,19,1,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_6277,9,1,0,1,0,0,2,0,0,1,0,3,2,1,0,0,2,0,0,1,1,0,1,0,2,0,0
cell_6278,3,0,5,0,0,0,1,0,0,0,0,5,1,2,0,0,1,0,0,0,4,0,0,0,0,0,0
cell_6279,2,0,1,3,1,0,2,0,0,1,16,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
cell_6280,2,0,1,5,3,0,1,1,0,0,8,1,1,4,1,1,0,0,0,1,0,1,0,0,0,0,0
cell_6281,0,0,0,0,0,1,0,0,2,0,3,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0
cell_6282,0,0,0,0,0,0,0,0,8,3,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,2,0
cell_6283,0,0,0,0,1,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6284,1,0,0,0,0,2,0,0,0,0,0,3,8,14,0,3,0,0,0,0,1,0,0,0,0,0,0
cell_6285,3,0,3,0,1,0,2,4,0,1,0,1,1,9,4,0,3,0,0,0,2,0,0,0,0,0,0
cell_6286,0,0,2,0,0,0,0,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6287,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,2,0
cell_6288,3,0,5,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,5,0,0,0
cell_6289,6,1,5,0,0,0,4,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6290,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,11,0,0,1,0,0,0
cell_6291,0,0,0,0,0,1,7,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,0,2,0,0
cell_6292,0,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
cell_6293,1,0,0,1,0,0,0,0,0,2,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
cell_6294,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,3,0,0
cell_6295,2,0,3,4,1,0,0,9,0,3,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0
cell_6296,1,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
cell_6297,2,0,0,0,1,2,3,0,0,0,0,2,5,5,0,3,0,0,0,0,0,0,0,1,0,0,0
cell_6298,1,0,0,1,0,0,4,2,0,0,0,1,1,4,0,1,0,0,0,0,34,0,0,6,0,0,0
cell_6299,0,0,0,0,0,2,1,0,0,0,1,3,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0
cell_6300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,4,1,0,0
cell_6301,0,0,0,1,0,0,1,4,0,1,0,1,3,7,0,4,0,0,0,1,0,0,0,0,0,0,0
cell_6302,0,0,0,1,0,0,6,8,0,0,0,1,3,8,0,6,1,0,0,0,1,0,0,0,0,0,0
cell_6303,0,0,0,0,1,0,0,4,0,0,0,2,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0
cell_6304,5,0,8,3,1,0,1,5,0,3,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
cell_6305,0,0,0,1,1,0,4,1,0,1,0,1,1,2,0,3,0,0,0,1,0,1,0,0,0,0,0
cell_6306,10,0,14,0,0,0,0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0
cell_6307,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
cell_6308,0,0,0,0,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0
cell_6309,1,0,1,0,1,2,7,0,0,0,0,1,2,5,1,1,0,0,0,0,2,1,0,0,0,0,0
cell_6310,0,0,0,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0
cell_6311,4,0,0,1,0,0,4,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,5,0,0,0
cell_6312,1,0,1,1,0,2,0,1,0,0,0,1,10,3,0,2,0,0,0,0,1,0,0,4,0,0,0
cell_6313,0,0,1,2,1,0,2,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0
cell_6314,6,0,3,0,0,0,3,6,0,1,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0
cell_6315,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
cell_6316,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
cell_6317,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0
cell_6318,0,0,2,5,2,0,1,9,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6319,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0
cell_6320,0,0,0,4,0,0,0,6,1,0,1,0,2,3,1,1,0,0,0,0,0,0,0,0,2,0,0
cell_6321,5,0,8,3,1,0,0,17,0,8,0,1,7,17,2,1,7,0,0,0,1,0,0,1,0,0,1
cell_6322,1,0,0,0,0,0,7,0,0,1,0,1,6,1,0,2,0,0,0,0,2,0,0,3,0,0,0
cell_6323,1,0,0,4,0,0,0,9,0,0,0,0,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1
cell_6324,0,0,0,0,2,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6325,0,0,0,1,7,0,0,1,0,4,0,2,5,2,0,0,0,0,0,0,0,0,4,0,1,1,1
cell_6326,0,0,0,0,0,0,3,1,0,0,1,2,7,11,0,3,0,0,0,0,1,0,0,0,0,0,0
cell_6327,3,0,0,4,1,0,0,19,3,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,2,0,2
cell_6328,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cell_6329,2,0,5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
cell_6330,3,0,3,1,1,0,2,5,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
cell_6331,2,0,4,0,2,0,5,5,0,3,0,0,4,2,5,0,0,0,0,0,0,0,0,0,0,0,0
cell_6332,2,0,2,1,1,0,4,1,0,0,9,3,0,0,1,0,0,0,0,0,9,1,0,0,0,0,0
cell_6333,3,0,1,0,0,1,2,0,0,1,0,2,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0
cell_6334,6,0,5,0,2,0,3,0,0,0,1,4,0,3,1,0,0,0,0,0,10,0,0,0,0,0,0
cell_6335,0,0,0,0,2,1,2,1,0,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
cell_6336,3,1,1,3,1,0,0,7,5,6,1,1,0,1,0,0,0,9,0,0,0,0,2,0,14,10,2
cell_6337,0,0,0,0,1,0,7,1,0,1,1,0,1,9,0,3,1,0,0,0,0,0,1,0,0,0,0
cell_6338,0,0,1,2,1,1,2,3,0,0,0,0,3,2,0,0,0,0,0,0,17,0,0,1,0,0,0
cell_6339,1,0,0,0,0,0,1,2,0,3,0,5,5,6,1,0,0,0,0,0,3,0,0,4,1,0,0
cell_6340,1,0,0,0,0,2,3,0,0,0,0,1,1,2,0,1,0,0,0,0,2,0,0,1,0,0,0
cell_6341,0,0,0,2,0,0,1,5,0,0,0,0,2,5,0,4,0,0,0,0,0,0,0,0,2,0,0
cell_6342,2,0,10,2,1,0,1,3,0,0,0,2,1,3,1,0,0,0,0,0,15,0,0,0,0,0,0
cell_6343,0,0,1,1,0,0,0,10,0,5,0,0,4,6,3,0,3,0,0,0,0,0,0,0,0,0,1
cell_6344,3,0,0,7,2,0,0,10,0,0,0,1,1,4,3,1,0,0,0,0,0,2,0,0,1,4,1
cell_6345,0,0,3,4,1,0,0,14,0,2,0,0,3,13,3,3,1,0,0,0,0,1,0,0,0,1,2
cell_6346,1,0,0,5,0,0,0,17,1,2,0,1,1,2,1,0,2,2,0,0,0,0,0,0,1,3,2
cell_6347,2,0,8,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,0,0,1,0,0,2,0,0,0
cell_6348,4,0,7,2,3,0,1,12,0,4,0,2,2,8,1,0,2,0,0,0,0,0,0,0,0,0,0
cell_6349,0,0,0,7,0,0,0,14,1,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6350,1,0,0,1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,0,0
cell_6351,0,0,0,1,0,0,2,1,0,0,0,0,2,6,1,1,0,0,0,0,1,0,0,0,0,0,0
cell_6352,1,0,0,5,0,0,0,11,0,0,0,0,3,4,2,1,0,0,0,1,0,0,0,0,2,0,0
cell_6353,6,0,0,0,0,0,3,0,0,0,0,2,1,1,6,0,0,0,0,0,3,0,0,11,0,0,0
cell_6354,7,0,0,0,1,0,1,0,0,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
cell_6355,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0
cell_6356,0,0,0,0,1,0,0,2,0,0,0,1,3,7,0,1,1,0,0,0,2,0,0,0,0,0,0
cell_6357,2,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0
cell_6358,3,0,0,1,1,1,3,0,0,1,0,2,4,7,0,0,0,0,0,0,0,0,0,4,0,0,0
cell_6359,4,0,6,3,0,0,0,2,0,0,1,3,1,5,3,0,0,0,0,0,0,0,0,1,1,0,1
cell_6360,0,0,0,3,0,0,0,9,3,0,0,0,0,0,1,0,3,2,0,2,0,0,0,0,3,1,0
cell_6361,3,0,10,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,14,0,0,0,0,0,0
cell_6362,2,0,5,0,0,0,1,1,0,0,0,1,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0
cell_6363,2,0,2,0,0,0,0,1,0,1,0,7,0,1,6,0,0,0,0,0,2,0,0,5,0,0,0
cell_6364,0,0,0,1,0,0,1,1,0,0,4,4,3,6,0,1,0,0,0,0,1,0,0,0,0,0,0
cell_6365,0,0,0,0,1,0,0,0,6,0,0,1,0,4,1,0,0,0,0,4,0,0,0,0,1,5,0
cell_6366,2,0,6,2,0,0,0,6,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0
cell_6367,10,0,0,0,5,1,4,0,0,1,0,3,2,1,0,0,2,0,0,0,0,0,1,2,0,0,0
cell_6368,5,0,0,0,1,3,2,0,0,0,0,4,9,6,0,0,2,0,0,0,0,0,0,2,0,0,0
cell_6369,0,0,0,1,2,1,3,9,0,0,1,1,8,2,1,2,0,0,0,0,0,0,1,0,0,0,0
cell_6370,4,0,6,2,2,0,8,2,0,1,13,2,3,3,3,0,0,0,0,0,14,0,0,0,0,0,0
cell_6371,1,0,2,1,0,0,1,9,0,1,0,0,1,5,2,0,2,0,0,0,0,0,0,0,0,0,1
cell_6372,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0
cell_6373,4,0,3,0,2,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
cell_6374,0,0,0,4,0,0,0,3,0,0,0,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1
cell_6375,1,0,0,9,0,0,0,15,1,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0
cell_6376,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,6,0,0,0,1,0,0
cell_6377,0,0,5,2,0,0,0,4,0,3,0,0,3,3,0,0,5,0,0,0,0,0,0,1,0,0,0
cell_6378,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0
cell_6379,5,0,11,0,0,0,9,0,0,0,1,4,0,3,2,0,1,0,0,0,10,0,0,0,0,0,0
cell_6380,0,0,0,1,0,0,0,0,0,0,5,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
cell_6381,0,0,0,1,2,4,1,1,4,0,0,0,0,4,1,1,3,0,0,2,1,0,2,2,2,1,0
cell_6382,1,0,0,1,1,0,1,1,0,1,0,1,3,3,5,0,0,1,0,0,7,0,0,12,0,0,0
cell_6383,0,0,1,10,0,0,0,8,0,0,0,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_6384,1,0,0,3,4,0,0,6,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,3,2,2
cell_6385,8,0,11,1,2,0,3,4,0,1,0,1,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0
cell_6386,0,1,0,1,1,2,1,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0
cell_6387,2,0,0,0,1,0,0,0,0,1,0,5,0,3,8,0,1,0,0,0,0,0,0,10,0,0,0
cell_6388,10,0,8,1,4,0,9,4,0,0,0,2,2,7,5,0,1,0,0,0,7,0,0,0,0,0,0
cell_6389,0,0,0,1,0,4,1,3,0,0,0,2,8,0,0,3,0,0,0,0,2,0,0,0,0,0,0
cell_6390,2,0,9,0,0,0,0,3,0,1,0,2,2,4,1,0,0,1,0,0,2,0,0,0,0,0,0
cell_6391,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6392,0,0,1,0,0,0,1,1,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,1,0,0
cell_6393,0,0,0,6,0,0,0,8,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6394,0,1,4,3,0,0,0,4,0,0,0,4,1,4,3,0,0,0,0,0,0,0,0,1,0,0,0
cell_6395,5,0,17,0,2,0,2,9,0,10,1,2,7,2,1,0,4,0,0,0,0,0,0,0,0,0,0
cell_6396,0,0,3,10,0,0,0,19,3,3,0,0,7,4,1,1,2,1,0,0,0,0,1,0,0,2,2
cell_6397,1,0,3,1,1,0,6,2,0,0,1,0,1,2,0,1,0,0,0,5,0,0,1,0,0,0,0
cell_6398,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0
cell_6399,2,0,0,4,6,0,1,6,0,0,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,3
cell_6400,0,0,0,0,1,0,2,0,0,0,0,2,2,3,1,0,0,0,0,0,6,0,0,2,0,0,0
cell_6401,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,3,0,0,0,0,0
cell_6402,1,0,6,3,0,1,1,5,0,0,0,1,1,2,2,0,0,0,0,0,1,0,0,2,0,0,0
cell_6403,0,0,0,1,0,0,3,4,0,1,7,1,4,1,1,2,0,0,0,0,0,0,2,0,0,0,0
cell_6404,0,0,0,0,0,0,0,7,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,2
cell_6405,1,0,7,0,1,0,2,1,0,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0
cell_6406,1,0,0,0,2,3,4,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,7,0,0,0
cell_6407,1,0,4,1,0,0,2,3,0,4,0,0,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0
cell_6408,6,0,0,3,0,0,0,19,3,1,0,4,0,5,1,2,1,3,0,0,0,0,0,0,0,2,1
cell_6409,2,0,4,3,1,0,0,5,0,0,0,2,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0
cell_6410,3,0,2,0,0,0,4,0,0,1,1,1,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0
cell_6411,0,0,0,1,1,0,0,19,0,0,0,0,4,8,0,2,3,0,0,0,0,0,0,0,0,0,0
cell_6412,3,0,12,0,0,0,4,2,0,2,0,2,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0
cell_6413,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
cell_6414,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0
cell_6415,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
cell_6416,0,0,0,5,1,0,1,5,1,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0
cell_6417,0,0,0,1,1,1,0,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
cell_6418,2,0,0,1,0,0,0,9,0,0,0,1,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0
cell_6419,2,0,0,1,3,0,1,1,0,0,0,1,5,7,0,1,0,0,1,1,0,0,1,1,1,0,0
cell_6420,0,0,0,6,0,0,0,12,0,0,0,2,3,2,1,1,0,0,0,0,1,0,0,0,0,0,3
cell_6421,0,0,0,1,0,0,0,3,0,1,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
cell_6422,0,0,0,7,0,0,0,13,0,2,0,0,10,3,1,0,2,0,0,0,0,0,0,0,0,0,0
cell_6423,0,0,0,1,0,0,0,2,0,0,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6424,0,0,0,4,3,0,0,0,1,0,8,0,0,0,4,0,0,2,0,0,0,6,0,0,1,2,1
cell_6425,0,0,1,1,1,1,5,1,0,0,0,1,8,2,1,0,0,0,0,0,19,0,0,2,0,0,0
cell_6426,2,0,7,0,0,0,8,1,0,1,2,0,2,1,0,0,0,0,0,4,5,0,0,0,0,0,0
cell_6427,0,0,0,2,0,0,0,0,0,1,0,3,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0
cell_6428,0,0,0,0,0,0,1,0,0,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
cell_6429,1,0,8,1,0,0,0,8,0,0,0,1,3,5,1,0,0,0,0,0,0,0,0,1,0,0,0
cell_6430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cell_6431,0,0,10,0,1,0,5,0,0,2,0,1,1,3,0,0,1,0,0,0,5,0,0,0,0,0,0
cell_6432,1,0,0,0,0,0,3,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_6433,0,0,0,2,0,0,0,4,0,1,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
