,imagecol,imagerow
cell_4362,3127.02,557.81
cell_4363,3127.62,2540.7
cell_4364,3127.84,2372.5
cell_4365,3128.17,747.71
cell_4366,3128.57,1824.3
cell_4367,3128.99,2129.45
cell_4368,3129.2,2308.97
cell_4369,3129.49,1893.58
cell_4370,3129.89,1670.66
cell_4371,3129.89,1693.53
cell_4372,3129.89,732.72
cell_4373,313.37,2094.03
cell_4374,3131.05,910.58
cell_4375,3131.3,2096.68
cell_4376,3131.49,1941.54
cell_4377,3131.49,712.53
cell_4378,3132.29,981.45
cell_4379,3132.39,856.73
cell_4380,3132.77,1656.84
cell_4381,3132.84,1922.6
cell_4382,3133.11,2001.71
cell_4383,3133.35,722.41
cell_4384,3134.25,2392.58
cell_4385,3134.39,1975.71
cell_4386,3135.55,1954.97
cell_4387,3136.21,1794.09
cell_4388,3136.42,2586.46
cell_4389,3136.91,790.18
cell_4390,3136.92,570.57
cell_4391,3137.05,880.86
cell_4392,3137.12,831.66
cell_4393,3137.28,750.6
cell_4394,3137.48,955.91
cell_4395,3137.64,821.1
cell_4396,3137.71,1294.36
cell_4397,3138.36,545.68
cell_4398,3138.74,1842.08
cell_4399,3139.03,1768.22
cell_4400,3139.3,1750.57
cell_4401,3139.35,1986.82
cell_4402,3139.7,2032.09
cell_4403,3139.76,2050.73
cell_4404,3140.5,2111.03
cell_4405,3140.9,1069.85
cell_4406,3141.16,771.85
cell_4407,3141.4,2007.69
cell_4408,3141.64,1252.83
cell_4409,3141.64,1896.77
cell_4410,3141.66,1878.19
cell_4411,3142.05,1777.6
cell_4412,3142.62,1945.07
cell_4413,3144.93,2381.64
cell_4414,3145.4,999.77
cell_4415,3145.8,2597.81
cell_4416,3145.91,1812.01
cell_4417,3145.98,749.92
cell_4418,3146.1,515.77
cell_4419,3146.63,2309.32
cell_4420,3147.33,2635.41
cell_4421,3147.44,951.1
cell_4422,3147.62,1922.67
cell_4423,3147.62,2074.2
cell_4424,3148.02,1993.18
cell_4425,3148.18,849.56
cell_4426,3148.59,1123.97
cell_4427,3149.36,549.46
cell_4428,3150.17,1960.78
cell_4429,3150.54,2362.71
cell_4430,3150.79,572.37
cell_4431,3150.95,2003.07
cell_4432,3151.29,818.32
cell_4433,3151.47,2060.35
cell_4434,3151.58,2029.82
cell_4435,3151.83,1187.25
cell_4436,3152.23,984.81
cell_4437,3152.35,776.15
cell_4438,3152.42,1854.24
cell_4439,3152.61,1980.75
cell_4440,3153.69,1876.67
cell_4441,3153.87,787.3
cell_4442,3155.21,926.51
cell_4443,3155.74,2613.32
cell_4444,3156.03,869.78
cell_4445,3156.86,1746.38
cell_4446,3157.12,767.91
cell_4447,3157.5,802.74
cell_4448,3157.99,524.77
cell_4449,3158.62,1992.47
cell_4450,3159.98,2565.16
cell_4451,3160.12,884.42
cell_4452,3160.56,1775.46
cell_4453,3160.74,2322.84
cell_4454,3160.84,817.48
cell_4455,3160.99,1683.98
cell_4456,3161.2,1761.74
cell_4457,3161.36,1939.42
cell_4458,3161.49,1819.53
cell_4459,3161.54,2011.62
cell_4460,3161.88,1727.39
cell_4461,3162.89,936.54
cell_4462,3163.41,2351.27
cell_4463,3163.76,2079.99
cell_4464,3165.57,999.59
cell_4465,3165.93,1698.88
cell_4466,3166.48,847.37
cell_4467,3166.77,1713.88
cell_4468,3166.88,1917.77
cell_4469,3166.89,2053.98
cell_4470,3166.97,2033.86
cell_4471,3166.97,2400.66
cell_4472,3167.88,950.92
cell_4473,3168.24,1749.53
cell_4474,3168.49,2380.06
cell_4475,3168.82,769.75
cell_4476,3168.91,1888
cell_4477,3169.04,2016.59
cell_4478,3169.1,1989.31
cell_4479,3169.12,1975.02
cell_4480,3169.29,1265.56
cell_4481,3169.43,896.49
cell_4482,3169.54,1855.81
cell_4483,3169.58,798.26
cell_4484,3169.91,2108.77
cell_4485,3171.89,1597.69
cell_4486,3172.29,825.37
cell_4487,3173.38,1395.3
cell_4488,3173.76,2065.58
cell_4489,3174.91,1830.6
cell_4490,3175.4,2537.59
cell_4491,3176.12,2092.84
cell_4492,3176.7,1940.89
cell_4493,3176.73,931.92
cell_4494,3177.41,2003.72
cell_4495,3178.61,2078.15
cell_4496,3178.71,775.82
cell_4497,3179.04,2213.58
cell_4498,3179.37,840.2
cell_4499,3179.4,2043.58
cell_4500,3179.79,1959.61
cell_4501,3180.4,1767.59
cell_4502,3180.63,557.13
cell_4503,3180.75,1843.64
cell_4504,3181.05,1871.99
cell_4505,3181.92,2359.51
cell_4506,3182.76,784.44
cell_4507,3182.8,858.77
cell_4508,3183.08,542.25
cell_4509,3183.5,1184.66
cell_4510,3183.61,2554.22
cell_4511,3183.69,795.5
cell_4512,3183.83,1976.57
cell_4513,3183.93,502.67
cell_4514,3183.97,2061.01
cell_4515,3184.11,2022.12
cell_4516,3185.3,812.95
cell_4517,3185.84,1716.25
cell_4518,3186.3,1617.8
cell_4519,3186.52,997.57
cell_4520,3188.01,1951.05
cell_4521,3188.82,1991.44
cell_4522,3188.91,2099.23
cell_4523,3189.08,2195.21
cell_4524,3189.17,887.88
cell_4525,3189.38,2037.84
cell_4526,3189.7,2008.89
cell_4527,3190.64,906.96
cell_4528,3190.78,1883.28
cell_4529,3191.46,1753.44
cell_4530,3191.56,950.63
cell_4531,3191.88,803.44
cell_4532,3193.24,844.98
cell_4533,3193.38,1793.37
cell_4534,3193.71,2384.64
cell_4535,3194,878.25
cell_4536,3194.04,1925.46
cell_4537,3194.31,864.6
cell_4538,3194.54,2174.61
cell_4539,3195.13,1721.88
cell_4540,3195.76,1780.61
cell_4541,3196.49,1857.51
cell_4542,3196.65,2216.57
cell_4543,3196.87,507.68
cell_4544,3197.32,2018.54
cell_4545,3197.44,1679.38
cell_4546,3197.59,1988.05
cell_4547,3198,2053.01
cell_4548,3198.08,2154.17
cell_4549,3198.15,2043.13
cell_4550,3199.01,2071.75
cell_4551,3199.15,560.29
cell_4552,3199.41,2000.71
cell_4553,3199.59,1915.01
cell_4554,3199.84,837.63
cell_4555,3200.73,1957.25
cell_4556,3201.16,2355.87
cell_4557,3202.26,2625.38
cell_4558,3202.28,819.11
cell_4559,3202.65,2588.5
cell_4560,3202.87,2202.97
cell_4561,3203.29,1832.42
cell_4562,3203.45,1697.9
cell_4563,3203.55,892.19
cell_4564,3204.19,2135.49
cell_4565,3204.64,2605.27
cell_4566,3204.64,515.13
cell_4567,3204.88,696.13
cell_4568,3205.76,1765.94
cell_4569,3206.24,747.33
cell_4570,3206.72,931.99
cell_4571,3207.75,1193.21
cell_4572,3207.81,2568.2
cell_4573,3208.72,1940.67
cell_4574,3209.15,2000.92
cell_4575,3210.38,1958.18
cell_4576,3210.38,2179.68
cell_4577,3210.47,1620.44
cell_4578,3210.56,850.24
cell_4579,3210.94,2123.52
cell_4580,3212.17,2615.52
cell_4581,3212.6,1105.26
cell_4582,3212.75,2194.1
cell_4583,3212.82,1164.15
cell_4584,3213.16,2164.43
cell_4585,3214.5,1987.23
cell_4586,3214.57,2146.12
cell_4587,3215.18,1045.49
cell_4588,3215.69,702.52
cell_4589,3215.8,1858.13
cell_4590,3215.8,2388.8
cell_4591,3216.1,955.07
cell_4592,3216.15,2233.25
cell_4593,3216.88,857.45
cell_4594,3217.39,877.82
cell_4595,3217.62,745.32
cell_4596,3219.05,784.86
cell_4597,3219.06,541.22
cell_4598,3219.84,891.71
cell_4599,3220.27,2361.5
cell_4600,3220.36,1751.31
cell_4601,3220.45,1577.03
cell_4602,3221.42,2594.02
cell_4603,3221.43,691.84
cell_4604,3222.81,1814.61
cell_4605,3223.05,1953.78
cell_4606,3223.5,2411.12
cell_4607,3223.82,1739.54
cell_4608,3223.93,2566.98
cell_4609,3224.27,795.82
cell_4610,3224.47,866.12
cell_4611,3224.8,757.39
cell_4612,3224.84,1996.47
cell_4613,3224.92,2172.27
cell_4614,3225.4,1015.65
cell_4615,3225.8,2106.31
cell_4616,3226.55,993.2
cell_4617,3226.61,1912.8
cell_4618,3227.25,2215.34
cell_4619,3227.32,2348.18
cell_4620,3227.43,1086.03
cell_4621,3227.53,2229.15
cell_4622,3228.09,1682.75
cell_4623,3228.41,1150.24
cell_4624,3228.69,735.08
cell_4625,3228.81,1759.77
cell_4626,3229.64,683.14
cell_4627,3229.98,1789.64
cell_4628,323.05,1084.98
cell_4629,323.08,2109.75
cell_4630,3230.64,888.81
cell_4631,3231.1,704.18
cell_4632,3231.61,1964.66
cell_4633,3231.66,750.25
cell_4634,3231.95,2587.75
cell_4635,3232,2203.75
cell_4636,3232.05,2099.66
cell_4637,3232.1,522.19
cell_4638,3232.9,2160.43
cell_4639,3232.95,813.1
cell_4640,3233.26,1853.06
cell_4641,3233.8,1976.49
cell_4642,3234.43,826.01
cell_4643,3234.53,2611.45
cell_4644,3234.56,1946.55
cell_4645,3235.67,1987.13
cell_4646,3235.84,2244.41
cell_4647,3236.12,2081.18
cell_4648,3236.73,1121.13
cell_4649,3236.92,2136.92
cell_4650,3237.25,715.98
cell_4651,3237.5,2230.5
cell_4652,3238.01,2046.37
cell_4653,3238.43,1189.97
cell_4654,3239.25,843.3
cell_4655,3239.31,873.8
cell_4656,3239.4,1931.13
cell_4657,3239.48,2213.37
cell_4658,3239.51,2392.56
cell_4659,3239.51,948.03
cell_4660,3239.64,2095
cell_4661,3239.94,741.7
cell_4662,3241.76,2108.22
cell_4663,3241.93,790.8
cell_4664,3243.04,527.99
cell_4665,3243.44,726.29
cell_4666,3244.14,779.36
cell_4667,3244.31,2122.28
cell_4668,3245.05,1235.35
cell_4669,3245.16,710.73
cell_4670,3245.29,1618.65
cell_4671,3245.56,2606.38
cell_4672,3245.66,758.2
cell_4673,3245.83,807.67
cell_4674,3247.02,888.14
cell_4675,3247.78,2233.9
cell_4676,3248.38,2037.62
cell_4677,3248.71,1848.52
cell_4678,3249.19,1743.54
cell_4679,3249.31,1950.55
cell_4680,3249.36,1203.12
cell_4681,3249.54,1717.65
cell_4682,3249.61,737.69
cell_4683,3250.1,2399.53
cell_4684,3250.42,2622.11
cell_4685,3250.81,2366.98
cell_4686,3251.47,769.35
cell_4687,3251.83,721.24
cell_4688,3252.13,1708.44
cell_4689,3252.33,2058.5
cell_4690,3252.4,1690.97
cell_4691,3252.92,951.1
cell_4692,3253.05,1810.56
cell_4693,3254,2134.75
cell_4694,3254.12,2086.9
cell_4695,3254.18,854.99
cell_4696,3254.39,2109.17
cell_4697,3254.55,2025.33
cell_4698,3254.91,2169.3
cell_4699,3255.48,786.97
cell_4700,3255.84,2654.86
cell_4701,3256.22,2153.18
cell_4702,3256.34,1129.25
cell_4703,3256.4,529.3
cell_4704,3256.5,900.89
cell_4705,3256.92,2192.09
cell_4706,3257.04,754.57
cell_4707,3257.14,1959.6
cell_4708,3257.37,1092.98
cell_4709,3258.21,2035.69
cell_4710,3259.48,2045.85
cell_4711,3259.8,1946.22
cell_4712,3260.3,2016.98
cell_4713,3260.36,498.89
cell_4714,3260.68,1888.11
cell_4715,3260.91,717.76
cell_4716,3261.36,1769.11
cell_4717,3262.73,2580.29
cell_4718,3262.85,509.94
cell_4719,3263.05,1165.65
cell_4720,3263.78,2059.47
cell_4721,3263.78,2093.87
cell_4722,3264,829.7
cell_4723,3264.22,2637.85
cell_4724,3264.65,908.21
cell_4725,3265.16,1184.25
cell_4726,3265.26,871.35
cell_4727,3265.34,2144.12
cell_4728,3266.1,1847.02
cell_4729,3266.28,773.32
cell_4730,3266.32,2162.51
cell_4731,3266.51,1262.85
cell_4732,3267.8,1658.87
cell_4733,3267.95,727.33
cell_4734,3267.99,1231.44
cell_4735,3268.23,2077.49
cell_4736,3268.25,1611.85
cell_4737,3268.33,2424.17
cell_4738,3268.36,1793.54
cell_4739,3268.7,534.89
cell_4740,3269.24,2332.51
cell_4741,3269.31,2179.77
cell_4742,3269.81,2004.13
cell_4743,3270.14,842.48
cell_4744,3271.43,2232.63
cell_4745,3271.45,2217.51
cell_4746,3271.77,791.96
cell_4747,3272.55,2085.38
cell_4748,3272.56,2188.07
cell_4749,3272.56,809.33
cell_4750,3273.17,751.76
cell_4751,3273.41,2170.82
cell_4752,3273.78,2596.13
cell_4753,3273.93,892.1
cell_4754,3273.94,2120.34
cell_4755,3275.02,869.48
cell_4756,3275.26,2035.42
cell_4757,3275.33,2052.73
cell_4758,3275.34,2358.08
cell_4759,3275.96,1906.66
cell_4760,3276.15,1988.09
cell_4761,3277.71,1688.03
cell_4762,3277.71,1925.6
cell_4763,3277.86,734.11
cell_4764,3277.87,506.38
cell_4765,3277.99,2068.96
cell_4766,3278.6,957.22
cell_4767,3279.32,1710.65
cell_4768,3280.05,2248.33
cell_4769,3280.31,2136.28
cell_4770,3280.88,2001.46
cell_4771,3281.32,2225.3
cell_4772,3281.35,782.33
cell_4773,3281.7,907.48
cell_4774,3282.06,765.1
cell_4775,3282.17,2085.66
cell_4776,3282.37,1875.13
cell_4777,3282.51,2660.18
cell_4778,3283.14,2158.91
cell_4779,3283.18,2170.66
cell_4780,3283.49,716.45
cell_4781,3283.69,1776.75
cell_4782,3283.8,1969.41
cell_4783,3284.07,1849.08
cell_4784,3284.2,2585.39
cell_4785,3284.3,2342.75
cell_4786,3284.34,2018.09
cell_4787,3284.37,2196.6
cell_4788,3284.63,2044.62
cell_4789,3284.66,1953.29
cell_4790,3284.82,1086.42
cell_4791,3284.95,984.5
cell_4792,3285.27,2028.58
cell_4793,3285.51,746.22
cell_4794,3286.54,817.49
cell_4795,3286.69,724.55
cell_4796,3287.27,895.72
cell_4797,3287.29,2616.41
cell_4798,3287.33,929.61
cell_4799,3287.73,1936.18
cell_4800,3288.88,2119.5
cell_4801,3289.28,512.53
cell_4802,3289.43,705.2
cell_4803,3289.93,877.98
cell_4804,3290.32,2375.21
cell_4805,3290.35,2412.8
cell_4806,3290.46,2079.2
cell_4807,3290.68,666.23
cell_4808,3291.01,469.26
cell_4809,3291.29,1766.18
cell_4810,3291.81,2138.68
cell_4811,3291.89,787.56
cell_4812,3291.91,1232.26
cell_4813,3292.23,770.94
cell_4814,3292.85,2063.63
cell_4815,3293.04,2179.04
cell_4816,3293.16,855.12
cell_4817,3293.74,1180.3
cell_4818,3294.32,2427.82
cell_4819,3294.45,1651.72
cell_4820,3294.46,806.86
cell_4821,3294.57,755.96
cell_4822,3294.85,1718.5
cell_4823,3295.63,2162.58
cell_4824,3295.74,737.63
cell_4825,3296.45,2217.45
cell_4826,3296.77,2647.79
cell_4827,3296.83,2241.56
cell_4828,3296.93,2573.96
cell_4829,3297.59,714.7
cell_4830,3297.9,834.72
cell_4831,3298.45,2054.77
cell_4832,3298.62,2125.6
cell_4833,3298.93,661.49
cell_4834,3299.05,1267.79
cell_4835,3299.12,867.39
cell_4836,3299.14,1944.63
cell_4837,3299.38,954.33
cell_4838,3299.77,1699.76
cell_4839,3300.09,2152.61
cell_4840,3300.51,784.58
cell_4841,3300.7,2010.39
cell_4842,3300.71,688.23
cell_4843,3301.38,1791.13
cell_4844,3301.66,854.28
cell_4845,3301.87,2088.41
cell_4846,3301.92,1925.07
cell_4847,3302.25,2033.91
cell_4848,3302.65,1777.23
cell_4849,3303.37,2347.43
cell_4850,3304.12,751.16
cell_4851,3304.19,699.71
cell_4852,3304.21,1629.91
cell_4853,3304.31,2108.5
cell_4854,3304.83,2138.24
cell_4855,3305.01,2186.81
cell_4856,3305.35,1847.39
cell_4857,3306.03,2379.97
cell_4858,3306.17,918.91
cell_4859,3306.27,1099.94
cell_4860,3307.28,770.34
cell_4861,3307.37,876.33
cell_4862,3307.49,2588.31
cell_4863,3308.52,1983.23
cell_4864,3308.61,1948.83
cell_4865,3308.66,2230.97
cell_4866,3309.29,733.49
cell_4867,3310.27,2037.5
cell_4868,3311,857.77
cell_4869,3311.07,1761.36
cell_4870,3311.36,2162.66
cell_4871,3311.4,2400.75
cell_4872,3312.7,2069.27
cell_4873,3312.91,836.59
cell_4874,3313.26,2110.78
cell_4875,3313.83,1926.68
cell_4876,3314.11,712.81
cell_4877,3314.27,2121.77
cell_4878,3314.31,2148.63
cell_4879,3314.49,1897.45
cell_4880,3315.3,1590.62
cell_4881,3316.04,2348.98
cell_4882,3316.55,701.95
cell_4883,3316.74,2227.9
cell_4884,3316.84,1723.7
cell_4885,3317.16,1953.72
cell_4886,3317.32,801.18
cell_4887,3317.42,2569.75
cell_4888,3317.46,2648.66
cell_4889,3317.62,2138.44
cell_4890,3317.63,746.45
cell_4891,3317.64,2041.67
cell_4892,3317.88,2092.62
cell_4893,3317.89,1773.14
cell_4894,3318.49,488.36
cell_4895,3318.6,849.31
cell_4896,3318.88,905.85
cell_4897,3319.15,2177.16
cell_4898,3319.35,462.01
cell_4899,3319.56,1998.71
cell_4900,3320.1,961.15
cell_4901,3320.21,933.96
cell_4902,3321.76,879.91
cell_4903,3321.79,780.99
cell_4904,3321.81,769.47
cell_4905,3322.09,2048.8
cell_4906,3323.52,689.38
cell_4907,3323.69,1683.85
cell_4908,3324.01,2079.4
cell_4909,3324.12,2163.27
cell_4910,3324.16,1916.86
cell_4911,3324.34,2635.25
cell_4912,3324.5,2151.72
cell_4913,3324.99,2669.07
cell_4914,3325.04,1827.37
cell_4915,3325.09,503.27
cell_4916,3325.45,729.25
cell_4917,3325.6,1173.32
cell_4918,3326.38,717.32
cell_4919,3326.6,2057.93
cell_4920,3326.75,2102.87
cell_4921,3326.85,817.97
cell_4922,3327.08,703.32
cell_4923,3327.55,2008.16
cell_4924,3328.09,2230.15
cell_4925,3328.64,744.63
cell_4926,3329.3,835.02
cell_4927,3329.76,1988.62
cell_4928,3329.78,904.36
cell_4929,3329.83,1668.74
cell_4930,3330.51,1756.2
cell_4931,3330.58,1976.74
cell_4932,3330.62,1877.58
cell_4933,3331,475.9
cell_4934,3331.3,1264.16
cell_4935,3331.93,794.07
cell_4936,3332.2,880.35
cell_4937,3332.97,1795.03
cell_4938,3333.68,859.38
cell_4939,3333.89,1960.77
cell_4940,3334.22,2120.24
cell_4941,3334.47,2629.19
cell_4942,3334.49,1908.4
cell_4943,3334.87,2145.42
cell_4944,3335.04,922.45
cell_4945,3335.1,2089.12
cell_4946,3335.18,1742.73
cell_4947,3335.37,731.32
cell_4948,3335.5,2610
cell_4949,3335.79,2131.71
cell_4950,3336.15,2175.33
cell_4951,3336.17,2035.3
cell_4952,3336.33,1698.19
cell_4953,3336.54,1888.94
cell_4954,3336.6,715.96
cell_4955,3336.81,687.93
cell_4956,3336.88,2065.08
cell_4957,3337.84,2076.76
cell_4958,3337.98,1937.99
cell_4959,3338.27,768.18
cell_4960,3339.41,2403.56
cell_4961,3339.92,751.82
cell_4962,3340.19,812.33
cell_4963,3340.51,1986.55
cell_4964,3340.97,1766.58
cell_4965,3341.25,463.97
cell_4966,3342.12,2588.67
cell_4967,3342.68,885.95
cell_4968,3342.81,2102.2
cell_4969,3343.64,2055.33
cell_4970,3343.7,929.3
cell_4971,3344.28,1852.46
cell_4972,3344.7,1170.69
cell_4973,3345.07,1808.22
cell_4974,3345.19,787.25
cell_4975,3345.21,866
cell_4976,3345.9,1072.11
cell_4977,3346.36,1914.51
cell_4978,3346.48,1775.97
cell_4979,3347.66,2178.02
cell_4980,3348.38,512.2
cell_4981,3348.69,2123.72
cell_4982,3348.85,484.41
cell_4983,3348.96,2078.92
cell_4984,3349.25,1642.63
cell_4985,3349.84,898.85
cell_4986,3349.87,2670.49
cell_4987,3350.02,2089.35
cell_4988,3350.62,836.32
cell_4989,3350.77,2191.61
cell_4990,3350.85,2163.02
cell_4991,3351.82,721.16
cell_4992,3352.45,2444.29
cell_4993,3352.45,689.9
cell_4994,3352.56,2035.99
cell_4995,3352.77,1975.12
cell_4996,3353.61,766.77
cell_4997,3354.08,1026.99
cell_4998,3354.1,1711.11
cell_4999,3354.88,2352.79
cell_5000,3355.12,1131.8
cell_5001,3355.21,919.13
cell_5002,3355.26,2367.41
cell_5003,3355.29,882.78
cell_5004,3355.6,810.07
cell_5005,3356.61,1952.42
cell_5006,3356.96,1744.07
cell_5007,3357.28,988.93
cell_5008,3358.24,1659.32
cell_5009,3358.41,2012.68
cell_5010,3358.46,793.13
cell_5011,3358.57,475.4
cell_5012,3358.76,2203.61
cell_5013,3359.4,1897.98
cell_5014,3359.66,940.18
cell_5015,336.58,2116.12
cell_5016,3360.26,1918.07
cell_5017,3360.68,846.12
cell_5018,3360.78,2060.95
cell_5019,3361.12,719.11
cell_5020,3361.16,1476.12
cell_5021,3361.28,753.2
cell_5022,3361.89,1855.73
cell_5023,3362.26,2110.03
cell_5024,3362.55,2091.51
cell_5025,3362.56,1729.99
cell_5026,3363.51,774.48
cell_5027,3363.58,2021.65
cell_5028,3364.23,882.36
cell_5029,3364.91,1996.36
cell_5030,3365.24,1930.98
cell_5031,3365.45,1883.44
cell_5032,3365.61,2660.65
cell_5033,3366.61,2431.41
cell_5034,3366.84,2170.66
cell_5035,3367.16,1708.4
cell_5036,3367.19,1832.39
cell_5037,3367.21,463.85
cell_5038,3368.17,1794.07
cell_5039,3368.19,2631.67
cell_5040,3368.5,1957.56
cell_5041,3368.56,2375.04
cell_5042,3368.63,974.81
cell_5043,3368.92,495.31
cell_5044,3369.23,2127.86
cell_5045,3369.75,2116.27
cell_5046,3370,800
cell_5047,3370.29,1695.95
cell_5048,3370.35,2595.87
cell_5049,3370.54,2355.87
cell_5050,3372.37,2036.74
cell_5051,3372.52,2676.88
cell_5052,3372.82,896.24
cell_5053,3372.87,878.34
cell_5054,3373.35,779.31
cell_5055,3373.67,2081.72
cell_5056,3374,2004.69
cell_5057,3374.03,1071.01
cell_5058,3374.61,852.51
cell_5059,3374.7,734.65
cell_5060,3374.75,2065.15
cell_5061,3375.36,1909.47
cell_5062,3376.19,1773.79
cell_5063,3376.7,706.99
cell_5064,3377.43,1860.03
cell_5065,3377.51,1971.23
cell_5066,3378.03,1234.95
cell_5067,3378.07,455.04
cell_5068,3379.16,2614.21
cell_5069,3379.92,1931.76
cell_5070,3380.14,1764.74
cell_5071,3380.82,933
cell_5072,3381.3,816.38
cell_5073,3381.31,2040.17
cell_5074,3381.82,877.32
cell_5075,3382.27,839.01
cell_5076,3382.3,786.36
cell_5077,3382.35,2415.89
cell_5078,3383.44,907.02
cell_5079,3383.66,1148.28
cell_5080,3384.22,711.3
cell_5081,3384.23,2642.32
cell_5082,3384.24,1896.74
cell_5083,3384.46,2003.31
cell_5084,3384.66,803.25
cell_5085,3385.12,1981.79
cell_5086,3385.25,1477.01
cell_5087,3386.16,1027.48
cell_5088,3386.18,1923.94
cell_5089,3386.77,2653.29
cell_5090,3387.06,442.98
cell_5091,3387.24,1841.06
cell_5092,3387.46,1947.23
cell_5093,3387.81,2595.61
cell_5094,3388,2392.79
cell_5095,3388.27,893.23
cell_5096,3388.68,2068.16
cell_5097,3388.98,1741.39
cell_5098,3389.35,2031.86
cell_5099,3389.4,983.71
cell_5100,3389.58,456.01
cell_5101,3389.6,2096.71
cell_5102,3391.86,1587.75
cell_5103,3392.49,1783.39
cell_5104,3392.63,728.86
cell_5105,3393.19,1669.82
cell_5106,3394.01,2624.35
cell_5107,3394.38,1960.45
cell_5108,3394.47,1705.38
cell_5109,3394.87,2678.58
cell_5110,3395.53,1821.56
cell_5111,3395.7,1252.84
cell_5112,3395.7,2605.44
cell_5113,3396.49,1630.96
cell_5114,3396.84,2109.25
cell_5115,3396.94,2082.13
cell_5116,3397.29,1896.76
cell_5117,3397.5,485.32
cell_5118,3398.06,1297.76
cell_5119,3398.71,1747.46
cell_5120,3399.09,1984.61
cell_5121,3399.75,2432.74
cell_5122,3399.95,828.92
cell_5123,3399.99,1724.11
cell_5124,3400.57,916.18
cell_5125,3400.77,2163.4
cell_5126,3401.26,1930.02
cell_5127,3402.19,1102.88
cell_5128,3402.34,1909.78
cell_5129,3402.48,750.69
cell_5130,3402.53,1949.88
cell_5131,3403.02,2616.62
cell_5132,3403.08,2049.1
cell_5133,3403.26,1803.74
cell_5134,3403.73,1769.78
cell_5135,3404.01,2282.43
cell_5136,3404.33,2595.9
cell_5137,3405.9,2032.22
cell_5138,3406.54,2091.56
cell_5139,3407.92,1227.19
cell_5140,3408.18,900.7
cell_5141,3408.33,2408.74
cell_5142,3408.66,1758.09
cell_5143,3409.08,448.93
cell_5144,3409.08,814.59
cell_5145,3409.09,2685.87
cell_5146,3409.35,469.34
cell_5147,3409.42,777.47
cell_5148,3409.56,723.5
cell_5149,3409.56,871.3
cell_5150,3410.16,755.82
cell_5151,3410.91,1595.74
cell_5152,3411.59,836.54
cell_5153,3411.95,2008.19
cell_5154,3412.06,2643.54
cell_5155,3412.41,2052.35
cell_5156,3412.56,2113.53
cell_5157,3412.57,1853.6
cell_5158,3412.63,2621.41
cell_5159,3412.78,1959.74
cell_5160,3415.76,2067.05
cell_5161,3415.92,2126.67
cell_5162,3416.31,792.27
cell_5163,3416.54,891.12
cell_5164,3416.89,730.95
cell_5165,3416.92,500.66
cell_5166,3417.08,2440.19
cell_5167,3417.71,2371.14
cell_5168,3418.01,929.69
cell_5169,3418.11,949.91
cell_5170,3418.24,848.59
cell_5171,3418.39,2140.19
cell_5172,3418.49,1924.7
cell_5173,3419.25,912.58
cell_5174,3419.57,2674.49
cell_5175,3419.66,974.63
cell_5176,3419.68,1778.49
cell_5177,3420.46,1043
cell_5178,3420.59,1900.79
cell_5179,3420.68,431.65
cell_5180,3420.72,1700.36
cell_5181,3420.8,1812.57
cell_5182,3421.2,235.57
cell_5183,3421.66,2160.92
cell_5184,3422.49,1975.19
cell_5185,3422.97,2120.16
cell_5186,3423.51,2455.27
cell_5187,3423.85,681.58
cell_5188,3424.61,1745.04
cell_5189,3424.88,2061.97
cell_5190,3425.64,1625.45
cell_5191,3425.9,662.44
cell_5192,3426.09,798.62
cell_5193,3426.31,752.79
cell_5194,3426.64,2089.01
cell_5195,3426.99,2690.67
cell_5196,3427.05,2046.27
cell_5197,3427.44,1999.53
cell_5198,3428.46,2103.67
cell_5199,3428.82,832.59
cell_5200,3428.88,877.45
cell_5201,3429.36,948.71
cell_5202,3430.38,2146.9
cell_5203,3430.73,2672.1
cell_5204,3431.43,1984.63
cell_5205,3431.52,1715.33
cell_5206,3432.36,653.66
cell_5207,3432.58,688.42
cell_5208,3432.8,2124.33
cell_5209,3432.84,1091.7
cell_5210,3432.85,1763.59
cell_5211,3432.9,1003.68
cell_5212,3433.99,769.63
cell_5213,3434.11,482.56
cell_5214,3435.51,822.09
cell_5215,3436.19,497.72
cell_5216,3436.81,2635.95
cell_5217,3437.42,699.58
cell_5218,3437.87,2111.98
cell_5219,3438.32,1061.04
cell_5220,3438.76,1916.74
cell_5221,3439.02,1892.16
cell_5222,3439.4,1875.11
cell_5223,3439.55,2005.83
cell_5224,3440.42,2420.3
cell_5225,3440.5,1773.91
cell_5226,3440.58,1972.65
cell_5227,3440.61,2666.61
cell_5228,3440.77,2081.57
cell_5229,3440.83,1179.14
cell_5230,3441.06,2069.77
cell_5231,3441.7,657.43
cell_5232,3442.15,2657.37
cell_5233,3442.32,2031.03
cell_5234,3442.35,1792.45
cell_5235,3443.48,689.41
cell_5236,3444.13,1821.24
cell_5237,3444.57,2221.2
cell_5238,3444.84,833.27
cell_5239,3444.9,2056.04
cell_5240,3445.66,789.02
cell_5241,3445.95,810.86
cell_5242,3446.99,2235.36
cell_5243,3447.31,905.42
cell_5244,3447.47,2679.37
cell_5245,3447.71,2046.36
cell_5246,3448.2,2467.6
cell_5247,3448.82,673.93
cell_5248,3449.59,2441.68
cell_5249,3449.65,2001.97
cell_5250,3449.66,644.27
cell_5251,3450.81,2020.43
cell_5252,3451.06,2202.95
cell_5253,3451.3,1036.76
cell_5254,3451.92,1020.12
cell_5255,3452.94,1672.38
cell_5256,3453.54,1972.12
